waypoint_id,wp_publish_ns,wp_received_ns,wp_received_latency_ms,px4_response_ns,wp_to_px4_ms,total_end_to_end_ms
0,1761112290264231585,1761112290268048235,3.82,1761112290300019063,35.79,N/A
0,1761112290511485537,1761112290523445634,11.96,,,
0,1761112290511485537,1761112290523445634,11.96,1761112290533665673,22.18,N/A
0,1761112290720784102,1761112290733708819,12.92,,,
0,1761112290720784102,1761112290733708819,12.92,1761112290745508492,24.72,N/A
0,1761112290923319797,1761112290924988159,1.67,,,
0,1761112290923319797,1761112290924988159,1.67,1761112290970042371,46.72,N/A
0,1761112291117767296,1761112291122374693,4.61,,,
0,1761112291117767296,1761112291122374693,4.61,1761112291155577487,37.81,N/A
0,1761112291315802831,1761112291326212544,10.41,,,
0,1761112291315802831,1761112291326212544,10.41,1761112291346307620,30.50,N/A
0,1761112291523029001,1761112291543161649,20.13,,,
0,1761112291523029001,1761112291543161649,20.13,1761112291563327590,40.30,N/A
0,1761112291729792567,1761112291740082671,10.29,,,
0,1761112291729792567,1761112291740082671,10.29,1761112291755524907,25.73,N/A
0,1761112291933982673,1761112291937899587,3.92,,,
0,1761112291933982673,1761112291937899587,3.92,1761112291962384791,28.40,N/A
0,1761112292124883666,1761112292133254976,8.37,,,
0,1761112292124883666,1761112292133254976,8.37,1761112292197878722,73.00,N/A
0,1761112292319794439,1761112292323846375,4.05,,,
0,1761112292319794439,1761112292323846375,4.05,1761112292334588984,14.79,N/A
0,1761112292500851864,1761112292502379635,1.53,,,
0,1761112292500851864,1761112292502379635,1.53,1761112292572310395,71.46,N/A
0,1761112292784612237,1761112292803487554,18.88,,,
0,1761112292784612237,1761112292803487554,18.88,1761112292955364786,170.75,N/A
0,1761112293004782314,1761112293009092679,4.31,,,
0,1761112293004782314,1761112293009092679,4.31,1761112293110230815,105.45,N/A
0,1761112293269197358,1761112293295389602,26.19,,,
0,1761112293269197358,1761112293295389602,26.19,1761112293328825223,59.63,N/A
0,1761112293547361489,1761112293548922925,1.56,,,
