Waypoint_Timestamp_ns,AI_Inference_Latency_ms
1761124472120185113,159.84
1761124472274308071,148.38
1761124472416666993,137.51
1761124472597402349,173.19
1761124472825704955,213.05
1761124473123113974,289.10
1761124473319401266,189.75
1761124473479515655,152.12
1761124473615031562,130.35
1761124473785667113,165.75
1761124473983526443,188.88
1761124474182712120,193.03
1761124474370945958,181.51
1761124474520126066,144.33
1761124474657763776,133.29
1761124474815872152,153.37
1761124474974844205,152.33
1761124475143599214,159.95
1761124475304432318,155.21
1761124475467211794,159.05
1761124475638270066,166.54
1761124475807772254,165.17
1761124476030894042,217.29
1761124476230762734,188.56
1761124476390829818,153.61
1761124476542986303,145.91
1761124476684679792,137.05
1761124476836096487,146.64
1761124476988782402,144.29
1761124477129813292,136.16
1761124477292800588,155.55
1761124477453521242,154.96
1761124477635777303,177.32
1761124477826213273,181.79
1761124477980073291,147.78
1761124478134222899,148.66
1761124478294683443,155.16
1761124478516571890,216.20
1761124478720213442,195.68
1761124478932635406,204.39
1761124479145422551,201.96
1761124479305946598,155.21
1761124479475509959,161.56
1761124479638040300,154.77
1761124479798547194,154.42
1761124479965759775,161.26
1761124480102099968,129.13
1761124480283388566,176.75
1761124480461246909,171.31
1761124480606043081,140.09
1761124480756286495,144.83
1761124480900758735,138.09
1761124481071833724,165.43
1761124481283987757,206.32
1761124481504341819,215.96
1761124481717815004,205.07
1761124481894953819,170.19
1761124482093195468,192.10
1761124482255125425,152.31
1761124482399922817,140.71
1761124482565880554,161.29
1761124482744524357,174.26
1761124482910296429,159.65
1761124483098431719,179.66
1761124483259700621,154.68
1761124483410914427,144.09
1761124483584579695,169.52
1761124483747988755,156.99
1761124483923923010,169.75
1761124484098077933,167.21
1761124484284659561,181.67
1761124484502535641,210.31
1761124484703690512,191.82
1761124484863231717,153.98
1761124485056572912,188.61
1761124485243615977,180.10
1761124485402677145,151.66
1761124485583968986,170.66
1761124485746781644,156.03
1761124485991409965,236.56
1761124486186040324,186.10
1761124486371579349,173.77
1761124486558542897,181.07
1761124486722905302,158.60
1761124486892820596,163.56
1761124487086232032,178.57
1761124487302426011,205.18
1761124487506157684,199.03
1761124487657346418,144.51
1761124487812281513,149.89
1761124487966365217,148.70
1761124488106181844,133.53
1761124488262654741,150.72
1761124488429553258,156.99
1761124488570368293,135.59
1761124488711895022,136.73
1761124488873842328,158.12
1761124489018797814,140.54
1761124489428258137,166.46
1761124489602563220,164.72
1761124489769880241,161.99
1761124489979428706,202.54
1761124490185575094,199.68
1761124490423582608,229.63
1761124490634103778,198.52
1761124490828675716,187.69
1761124491005038851,169.28
1761124491194313260,177.53
1761124491360528354,160.72
1761124491589775916,224.72
1761124491774767358,178.59
1761124491998515399,211.67
1761124492196401640,177.73
1761124492365308182,160.98
1761124492545575534,170.86
1761124492700369359,148.53
1761124492868669269,163.53
1761124493080004746,206.18
1761124493275315362,189.58
1761124493458179083,172.31
1761124493636131214,171.83
1761124493812160548,167.36
1761124493978329167,161.40
1761124494192509015,207.28
1761124494354508855,153.97
1761124494525493762,162.12
1761124494711989318,180.32
1761124494894803828,178.29
1761124495063844359,163.44
1761124495255282753,186.19
1761124495430774228,170.70
1761124495605252720,168.53
1761124495779758200,169.34
1761124495958939950,170.08
1761124496158667626,185.34
1761124496363896734,200.01
1761124496545739221,173.07
1761124496790923694,240.17
1761124496968764147,170.70
1761124497151146482,176.18
1761124497323625147,166.16
1761124497476729148,149.04
1761124497642692873,159.84
1761124497809612150,161.91
1761124497997166885,178.61
1761124498184333436,181.32
1761124498373769449,182.67
1761124498555047016,175.71
1761124498734371262,173.31
1761124498934884746,195.30
1761124499141169211,196.81
1761124499332814729,185.76
1761124499528159950,181.99
1761124499740553851,207.63
1761124499900581045,151.15
1761124500074418265,169.08
1761124500266926431,181.69
1761124500440798609,167.08
1761124500597541019,148.34
1761124500790941964,187.59
1761124500948998209,152.03
1761124501134038605,176.29
1761124501300466478,160.98
1761124501440371316,134.30
1761124501590913743,146.01
1761124501743585382,147.97
1761124501985922980,237.15
1761124502184660891,190.97
1761124502413008524,222.93
1761124502608108778,182.81
1761124502796380131,179.72
1761124502959227588,156.42
1761124503146422123,180.99
1761124503314592218,160.48
1761124503495658089,174.52
1761124503662408794,158.41
1761124503840272566,172.94
1761124504005657778,158.16
1761124504190101596,178.92
1761124504380018670,183.77
1761124504556451891,170.25
1761124504738074350,175.49
1761124504907253436,162.68
1761124505054980335,143.67
1761124505234824059,174.62
1761124505397511131,156.42
1761124505583703238,177.17
1761124505728161864,140.14
1761124505877230596,141.95
1761124506028819799,144.95
1761124506197701068,164.46
1761124506365656036,161.82
1761124506570151178,199.15
1761124506769814311,190.20
1761124506951975411,175.15
1761124507130766101,171.61
1761124507290292969,152.73
1761124507522154646,224.93
1761124507761902007,232.53
1761124507940403612,172.09
1761124508153891548,206.77
1761124508336579763,171.38
1761124508520912184,178.65
1761124508705527452,175.16
1761124508869238663,158.75
1761124509021033735,147.13
1761124509171983257,144.81
1761124509359257627,174.43
